scientific_name,author,gbif_id,plantnet_id,powo_id,iucn_category,common_names
Senna tapajozensis,(Ducke) H.S.Irwin & Barneby,2957345,1586212,null,LC,
Sextonia rubra,(Mez) van der Werff,5685352,1400204,null,LC,Red louro
Simaba guianensis,Aubl.,7329562,1403541,null,LC,
Simaba obovata,Spruce ex Engl.,3709162,1689824,null,,
Simaba orinocensis,Kunth,3709147,1403543,null,LC,
Simaba polyphylla,(Cavalcante) W.W.Thomas,3709105,1405156,null,LC,
Simarouba amara,Aubl.,7720664,1403544,null,LC,Bitterwood; Surinam quassia
Simira macrocrater,(K.Schum.) Steyerm.,5335285,1680565,null,,
Simira maxonii,(Standl.) Steyerm.,5335269,1680566,null,LC,Inkwood
Simira paraensis,(Baill.) Steyerm.,5335274,1680571,null,VU,
Simira rubescens,(Benth.) Bremek. ex Steyerm.,5335279,1680575,null,LC,
Siparuna cervicornis,Perkins,3782391,1689846,null,LC,
Siparuna cristata,(Poepp. & Endl.) A.DC.,7264504,1402421,null,LC,
Siparuna cuspidata,(Tul.) A.DC.,3783134,1402422,null,LC,
Siparuna cymosa,Tolm.,3783105,1689849,null,LC,
Siparuna decipiens,(Tul.) A.DC.,3783065,1402424,null,LC,
